Title,Description,Category,PriorityScore
Street sign reported at bus stop,street sign at bus stop affecting daily activities,Civic Services,0.645
Flickering light reported at hospital,flickering light at hospital affecting daily activities,Street Lighting,0.538
Signboard reported near market,signboard near market affecting daily activities,Civic Services,0.475
Broken pavement reported near market,broken pavement near market should be repaired,Roads & Infra,0.574
Flickering light reported at junction,flickering light at junction affecting daily activities,Street Lighting,0.664
Footpath reported near market,footpath near market moderate risk,Public Spaces,0.674
Lamp post reported near market,lamp post near market causing inconvenience,Street Lighting,0.478
Medical waste reported in public park,medical waste in public park creating delays,Healthcare,0.611
Collision reported in public park,collision in public park needs attention soon,Traffic & Transport,0.549
Road crack reported at hospital,road crack at hospital causing inconvenience,Roads & Infra,0.628
Burning waste reported on main road,burning waste on main road creating delays,Environment,0.535
Fire reported on main road,fire on main road moderate risk,Public Safety,0.476
Collision reported near office area,collision near office area causing inconvenience,Traffic & Transport,0.531
Waterlogging reported near school,waterlogging near school needs attention soon,Water & Drainage,0.587
Traffic congestion reported on highway,traffic congestion on highway needs attention soon,Traffic & Transport,0.658
Pipe burst reported at junction,pipe burst at junction moderate risk,Water & Drainage,0.612
Pipe burst reported near school,pipe burst near school affecting daily activities,Water & Drainage,0.511
Litter reported on highway,litter on highway moderate risk,Waste & Sanitation,0.554
Facility damage reported at junction,facility damage at junction moderate risk,Civic Services,0.497
Facility damage reported at bus stop,facility damage at bus stop creating delays,Civic Services,0.594
Burning waste reported near market,burning waste near market affecting daily activities,Environment,0.558
Power line reported near market,power line near market should be repaired,Public Safety,0.539
Lighting system reported at junction,lighting system at junction should be repaired,Street Lighting,0.595
Sinkhole reported on highway,sinkhole on highway should be repaired,Roads & Infra,0.528
Ambulance delay reported near market,ambulance delay near market creating delays,Healthcare,0.626
Signboard reported on highway,signboard on highway affecting daily activities,Civic Services,0.594
Trash heap reported near office area,trash heap near office area moderate risk,Waste & Sanitation,0.574
Smoke reported on main road,smoke on main road causing inconvenience,Environment,0.59
Public toilet reported near market,public toilet near market moderate risk,Civic Services,0.667
Streetlight reported near market,streetlight near market causing inconvenience,Street Lighting,0.689
Collision reported in residential area,collision in residential area creating delays,Traffic & Transport,0.457
Clinic issue reported at bus stop,clinic issue at bus stop creating delays,Healthcare,0.641
Flickering light reported at junction,flickering light at junction creating delays,Street Lighting,0.563
Street sign reported near market,street sign near market needs attention soon,Civic Services,0.592
Municipal office issue reported on main road,municipal office issue on main road should be repaired,Civic Services,0.695
Medical waste reported near school,medical waste near school should be repaired,Healthcare,0.463
Gas leak reported at hospital,gas leak at hospital causing inconvenience,Public Safety,0.603
Municipal office issue reported on main road,municipal office issue on main road creating delays,Civic Services,0.499
Ambulance delay reported on main road,ambulance delay on main road causing inconvenience,Healthcare,0.612
Park bench reported near market,park bench near market causing inconvenience,Public Spaces,0.474
Chemical spill reported at bus stop,chemical spill at bus stop moderate risk,Environment,0.545
Playground equipment reported near market,playground equipment near market needs attention soon,Public Spaces,0.474
Power line reported at bus stop,power line at bus stop affecting daily activities,Public Safety,0.575
Lighting system reported at bus stop,lighting system at bus stop needs attention soon,Street Lighting,0.507
Damaged road reported on highway,damaged road on highway causing inconvenience,Roads & Infra,0.581
Litter reported near school,litter near school should be repaired,Waste & Sanitation,0.465
Electric wire reported on main road,electric wire on main road causing inconvenience,Public Safety,0.691
Public toilet reported near school,public toilet near school affecting daily activities,Civic Services,0.546
Litter reported near office area,litter near office area affecting daily activities,Waste & Sanitation,0.665
Lamp post reported near office area,lamp post near office area moderate risk,Street Lighting,0.495
Drain overflow reported at hospital,drain overflow at hospital creating delays,Water & Drainage,0.678
Medical waste reported near office area,medical waste near office area needs attention soon,Healthcare,0.673
Dark street reported on main road,dark street on main road moderate risk,Street Lighting,0.458
Litter reported at hospital,litter at hospital affecting daily activities,Waste & Sanitation,0.684
Damaged road reported on main road,damaged road on main road should be repaired,Roads & Infra,0.58
Broken pavement reported at junction,broken pavement at junction should be repaired,Roads & Infra,0.489
Medical waste reported on highway,medical waste on highway creating delays,Healthcare,0.587
Dust reported at hospital,dust at hospital creating delays,Environment,0.589
Power line reported near market,power line near market needs attention soon,Public Safety,0.51
Playground equipment reported at bus stop,playground equipment at bus stop causing inconvenience,Public Spaces,0.54
Bus stop reported at hospital,bus stop at hospital should be repaired,Public Spaces,0.473
Gas leak reported near office area,gas leak near office area should be repaired,Public Safety,0.626
Municipal office issue reported in public park,municipal office issue in public park creating delays,Civic Services,0.5
Power line reported on highway,power line on highway needs attention soon,Public Safety,0.523
Dust reported at bus stop,dust at bus stop moderate risk,Environment,0.471
Trash heap reported at hospital,trash heap at hospital affecting daily activities,Waste & Sanitation,0.59
Clinic issue reported in residential area,clinic issue in residential area moderate risk,Healthcare,0.698
Traffic congestion reported in public park,traffic congestion in public park causing inconvenience,Traffic & Transport,0.497
Damaged road reported near office area,damaged road near office area creating delays,Roads & Infra,0.675
Signboard reported near market,signboard near market creating delays,Civic Services,0.462
Garbage pile reported in residential area,garbage pile in residential area moderate risk,Waste & Sanitation,0.497
Public toilet reported at bus stop,public toilet at bus stop creating delays,Civic Services,0.577
Dark street reported near market,dark street near market creating delays,Street Lighting,0.625
Water leakage reported on highway,water leakage on highway needs attention soon,Water & Drainage,0.673
Electric wire reported at junction,electric wire at junction moderate risk,Public Safety,0.502
Hospital equipment reported near school,hospital equipment near school moderate risk,Healthcare,0.502
Damaged road reported near school,damaged road near school needs attention soon,Roads & Infra,0.615
Power line reported at bus stop,power line at bus stop needs attention soon,Public Safety,0.543
Smoke reported on main road,smoke on main road needs attention soon,Environment,0.6
Medical waste reported at bus stop,medical waste at bus stop creating delays,Healthcare,0.593
Blocked road reported in residential area,blocked road in residential area moderate risk,Traffic & Transport,0.623
Dust reported at bus stop,dust at bus stop affecting daily activities,Environment,0.661
Waterlogging reported in residential area,waterlogging in residential area should be repaired,Water & Drainage,0.453
Smoke reported on highway,smoke on highway needs attention soon,Environment,0.616
Water leakage reported at hospital,water leakage at hospital causing inconvenience,Water & Drainage,0.49
Park bench reported on main road,park bench on main road should be repaired,Public Spaces,0.532
Accident reported in residential area,accident in residential area should be repaired,Traffic & Transport,0.522
Medical waste reported at hospital,medical waste at hospital causing inconvenience,Healthcare,0.549
Water leakage reported in public park,water leakage in public park moderate risk,Water & Drainage,0.5
Public toilet reported on highway,public toilet on highway moderate risk,Civic Services,0.477
Water leakage reported at bus stop,water leakage at bus stop needs attention soon,Water & Drainage,0.471
Road crack reported at bus stop,road crack at bus stop should be repaired,Roads & Infra,0.543
Flickering light reported near office area,flickering light near office area causing inconvenience,Street Lighting,0.616
Signboard reported at junction,signboard at junction creating delays,Civic Services,0.529
Hospital equipment reported on main road,hospital equipment on main road affecting daily activities,Healthcare,0.665
Blocked road reported near market,blocked road near market moderate risk,Traffic & Transport,0.5
Trash heap reported at bus stop,trash heap at bus stop needs attention soon,Waste & Sanitation,0.687
Public toilet reported at junction,public toilet at junction needs attention soon,Civic Services,0.607
Explosion risk reported on highway,explosion risk on highway causing inconvenience,Public Safety,0.668
Road crack reported near office area,road crack near office area should be repaired,Roads & Infra,0.522
Lamp post reported in public park,lamp post in public park affecting daily activities,Street Lighting,0.464
Broken pavement reported in public park,broken pavement in public park should be repaired,Roads & Infra,0.454
Lighting system reported near market,lighting system near market causing inconvenience,Street Lighting,0.486
Road crack reported near school,road crack near school moderate risk,Roads & Infra,0.451
Trash heap reported near office area,trash heap near office area causing inconvenience,Waste & Sanitation,0.664
Litter reported in public park,litter in public park causing inconvenience,Waste & Sanitation,0.455
Bus stop reported at bus stop,bus stop at bus stop affecting daily activities,Public Spaces,0.621
Dust reported at junction,dust at junction creating delays,Environment,0.573
Vehicle jam reported on highway,vehicle jam on highway moderate risk,Traffic & Transport,0.68
Flickering light reported in public park,flickering light in public park affecting daily activities,Street Lighting,0.506
Blocked road reported at bus stop,blocked road at bus stop affecting daily activities,Traffic & Transport,0.67
Explosion risk reported near school,explosion risk near school moderate risk,Public Safety,0.651
Streetlight reported on highway,streetlight on highway moderate risk,Street Lighting,0.628
Signboard reported at bus stop,signboard at bus stop needs attention soon,Civic Services,0.66
Power line reported at bus stop,power line at bus stop moderate risk,Public Safety,0.671
Public park reported on highway,public park on highway moderate risk,Public Spaces,0.566
Electric pole reported at bus stop,electric pole at bus stop needs attention soon,Public Safety,0.631
Pipe burst reported at junction,pipe burst at junction creating delays,Water & Drainage,0.498
Sewage overflow reported near market,sewage overflow near market moderate risk,Water & Drainage,0.587
Burning waste reported in residential area,burning waste in residential area needs attention soon,Environment,0.548
Park bench reported in public park,park bench in public park creating delays,Public Spaces,0.563
Clinic issue reported near school,clinic issue near school needs attention soon,Healthcare,0.504
Signboard reported at bus stop,signboard at bus stop should be repaired,Civic Services,0.558
Park bench reported at junction,park bench at junction moderate risk,Public Spaces,0.592
Lighting system reported near office area,lighting system near office area needs attention soon,Street Lighting,0.61
Ambulance delay reported on main road,ambulance delay on main road moderate risk,Healthcare,0.529
Pipe burst reported on highway,pipe burst on highway affecting daily activities,Water & Drainage,0.603
Health hazard reported near school,health hazard near school creating delays,Healthcare,0.474
Pothole reported near school,pothole near school causing inconvenience,Roads & Infra,0.68
Waste accumulation reported at hospital,waste accumulation at hospital affecting daily activities,Waste & Sanitation,0.683
Power line reported on main road,power line on main road needs attention soon,Public Safety,0.527
Damaged road reported near office area,damaged road near office area affecting daily activities,Roads & Infra,0.596
Public park reported near market,public park near market creating delays,Public Spaces,0.494
Traffic congestion reported in public park,traffic congestion in public park needs attention soon,Traffic & Transport,0.675
Lamp post reported at bus stop,lamp post at bus stop causing inconvenience,Street Lighting,0.583
Clinic issue reported on main road,clinic issue on main road should be repaired,Healthcare,0.588
Footpath reported at junction,footpath at junction causing inconvenience,Public Spaces,0.616
Flickering light reported at hospital,flickering light at hospital causing inconvenience,Street Lighting,0.484
Dust reported at bus stop,dust at bus stop moderate risk,Environment,0.493
Litter reported near market,litter near market moderate risk,Waste & Sanitation,0.596
Flickering light reported near school,flickering light near school moderate risk,Street Lighting,0.687
Medical waste reported near market,medical waste near market causing inconvenience,Healthcare,0.672
Road crack reported on main road,road crack on main road should be repaired,Roads & Infra,0.525
Air pollution reported at hospital,air pollution at hospital creating delays,Environment,0.499
Electric pole reported at hospital,electric pole at hospital affecting daily activities,Public Safety,0.601
Park bench reported near office area,park bench near office area should be repaired,Public Spaces,0.554
Lighting system reported in residential area,lighting system in residential area needs attention soon,Street Lighting,0.578
Public toilet reported on highway,public toilet on highway affecting daily activities,Civic Services,0.676
Overflowing bin reported in residential area,overflowing bin in residential area affecting daily activities,Waste & Sanitation,0.562
Burning waste reported near school,burning waste near school affecting daily activities,Environment,0.637
Park bench reported near market,park bench near market should be repaired,Public Spaces,0.458
Hospital equipment reported near office area,hospital equipment near office area causing inconvenience,Healthcare,0.526
Waterlogging reported at bus stop,waterlogging at bus stop moderate risk,Water & Drainage,0.459
Accident reported near market,accident near market affecting daily activities,Traffic & Transport,0.651
Dust reported near market,dust near market needs attention soon,Environment,0.686
Collision reported at junction,collision at junction moderate risk,Traffic & Transport,0.52
Broken pavement reported at hospital,broken pavement at hospital creating delays,Roads & Infra,0.678
Public toilet reported near school,public toilet near school needs attention soon,Civic Services,0.652
Road crack reported at hospital,road crack at hospital needs attention soon,Roads & Infra,0.543
Dark street reported at junction,dark street at junction causing inconvenience,Street Lighting,0.666
Garbage pile reported near market,garbage pile near market should be repaired,Waste & Sanitation,0.468
Clinic issue reported near market,clinic issue near market creating delays,Healthcare,0.476
Pothole reported on main road,pothole on main road needs attention soon,Roads & Infra,0.68
Road crack reported at hospital,road crack at hospital creating delays,Roads & Infra,0.688
Trash heap reported at junction,trash heap at junction needs attention soon,Waste & Sanitation,0.462
Broken pavement reported near market,broken pavement near market creating delays,Roads & Infra,0.582
Playground equipment reported on highway,playground equipment on highway should be repaired,Public Spaces,0.627
Footpath reported near office area,footpath near office area causing inconvenience,Public Spaces,0.561
Public toilet reported at hospital,public toilet at hospital needs attention soon,Civic Services,0.694
Blocked road reported in public park,blocked road in public park should be repaired,Traffic & Transport,0.693
Pothole reported at junction,pothole at junction needs attention soon,Roads & Infra,0.662
Pipe burst reported at bus stop,pipe burst at bus stop creating delays,Water & Drainage,0.659
Collision reported at bus stop,collision at bus stop should be repaired,Traffic & Transport,0.61
Waterlogging reported in residential area,waterlogging in residential area affecting daily activities,Water & Drainage,0.634
Public toilet reported in residential area,public toilet in residential area affecting daily activities,Civic Services,0.639
Pothole reported at hospital,pothole at hospital moderate risk,Roads & Infra,0.536
Litter reported at bus stop,litter at bus stop causing inconvenience,Waste & Sanitation,0.619
Park bench reported at hospital,park bench at hospital affecting daily activities,Public Spaces,0.597
Explosion risk reported near office area,explosion risk near office area creating delays,Public Safety,0.69
Medical waste reported near market,medical waste near market moderate risk,Healthcare,0.54
Gas leak reported at junction,gas leak at junction needs attention soon,Public Safety,0.597
Waste accumulation reported at bus stop,waste accumulation at bus stop moderate risk,Waste & Sanitation,0.67
Building collapse reported at bus stop,building collapse at bus stop moderate risk,Public Safety,0.667
Public park reported on main road,public park on main road needs attention soon,Public Spaces,0.634
Dust reported near school,dust near school needs attention soon,Environment,0.647
Air pollution reported at bus stop,air pollution at bus stop affecting daily activities,Environment,0.453
Lamp post reported near office area,lamp post near office area needs attention soon,Street Lighting,0.504
Trash heap reported on highway,trash heap on highway needs attention soon,Waste & Sanitation,0.518
Water leakage reported on highway,water leakage on highway moderate risk,Water & Drainage,0.49
Street sign reported at junction,street sign at junction needs attention soon,Civic Services,0.572
Public park reported at bus stop,public park at bus stop needs attention soon,Public Spaces,0.572
Waste accumulation reported at hospital,waste accumulation at hospital causing inconvenience,Waste & Sanitation,0.688
Bus stop reported in residential area,bus stop in residential area needs attention soon,Public Spaces,0.509
Playground equipment reported at bus stop,playground equipment at bus stop moderate risk,Public Spaces,0.453
Blocked road reported near market,blocked road near market creating delays,Traffic & Transport,0.528
Clinic issue reported near office area,clinic issue near office area causing inconvenience,Healthcare,0.6
Street sign reported near market,street sign near market creating delays,Civic Services,0.543
Lighting system reported near office area,lighting system near office area moderate risk,Street Lighting,0.466
Footpath reported at bus stop,footpath at bus stop needs attention soon,Public Spaces,0.502
Explosion risk reported at junction,explosion risk at junction affecting daily activities,Public Safety,0.608
Footpath reported in public park,footpath in public park affecting daily activities,Public Spaces,0.594
Explosion risk reported at junction,explosion risk at junction needs attention soon,Public Safety,0.691
Ambulance delay reported near office area,ambulance delay near office area should be repaired,Healthcare,0.509
Waterlogging reported near office area,waterlogging near office area moderate risk,Water & Drainage,0.673
Gas leak reported at hospital,gas leak at hospital moderate risk,Public Safety,0.638
Medical waste reported at hospital,medical waste at hospital should be repaired,Healthcare,0.573
Medical waste reported at hospital,medical waste at hospital moderate risk,Healthcare,0.547
Drain overflow reported on main road,drain overflow on main road affecting daily activities,Water & Drainage,0.662
Trash heap reported at junction,trash heap at junction needs attention soon,Waste & Sanitation,0.608
Electric pole reported near office area,electric pole near office area moderate risk,Public Safety,0.59
Vehicle jam reported on highway,vehicle jam on highway affecting daily activities,Traffic & Transport,0.601
Signboard reported at junction,signboard at junction should be repaired,Civic Services,0.601
Traffic congestion reported at junction,traffic congestion at junction should be repaired,Traffic & Transport,0.65
Blocked road reported at bus stop,blocked road at bus stop moderate risk,Traffic & Transport,0.625
Waste accumulation reported in residential area,waste accumulation in residential area needs attention soon,Waste & Sanitation,0.486
Garbage pile reported at bus stop,garbage pile at bus stop causing inconvenience,Waste & Sanitation,0.542
Flickering light reported at bus stop,flickering light at bus stop should be repaired,Street Lighting,0.489
Footpath reported at hospital,footpath at hospital affecting daily activities,Public Spaces,0.564
Sewage overflow reported on highway,sewage overflow on highway affecting daily activities,Water & Drainage,0.491
Lighting system reported near school,lighting system near school causing inconvenience,Street Lighting,0.463
Gas leak reported on highway,gas leak on highway affecting daily activities,Public Safety,0.485
Chemical spill reported near school,chemical spill near school creating delays,Environment,0.559
Fire reported on main road,fire on main road affecting daily activities,Public Safety,0.603
Waste accumulation reported near market,waste accumulation near market should be repaired,Waste & Sanitation,0.639
Litter reported near school,litter near school creating delays,Waste & Sanitation,0.629
Flickering light reported at hospital,flickering light at hospital causing inconvenience,Street Lighting,0.485
Sinkhole reported on main road,sinkhole on main road creating delays,Roads & Infra,0.509
Electric pole reported near market,electric pole near market causing inconvenience,Public Safety,0.553
Broken pavement reported at bus stop,broken pavement at bus stop should be repaired,Roads & Infra,0.466
Dust reported on main road,dust on main road should be repaired,Environment,0.656
Waterlogging reported on main road,waterlogging on main road causing inconvenience,Water & Drainage,0.641
Blocked road reported at junction,blocked road at junction causing inconvenience,Traffic & Transport,0.611
Public toilet reported near school,public toilet near school creating delays,Civic Services,0.661
Waterlogging reported near school,waterlogging near school causing inconvenience,Water & Drainage,0.505
Pipe burst reported on main road,pipe burst on main road should be repaired,Water & Drainage,0.53
Dust reported near school,dust near school should be repaired,Environment,0.641
Park bench reported at bus stop,park bench at bus stop should be repaired,Public Spaces,0.467
Sewage overflow reported near school,sewage overflow near school needs attention soon,Water & Drainage,0.507
Park bench reported near market,park bench near market creating delays,Public Spaces,0.47
Gas leak reported on main road,gas leak on main road moderate risk,Public Safety,0.503
Public toilet reported near office area,public toilet near office area affecting daily activities,Civic Services,0.516
Gas leak reported at bus stop,gas leak at bus stop needs attention soon,Public Safety,0.659
Medical waste reported near market,medical waste near market needs attention soon,Healthcare,0.532
Accident reported at hospital,accident at hospital creating delays,Traffic & Transport,0.521
Trash heap reported near office area,trash heap near office area creating delays,Waste & Sanitation,0.618
Air pollution reported on main road,air pollution on main road causing inconvenience,Environment,0.46
Road crack reported at junction,road crack at junction should be repaired,Roads & Infra,0.634
Blocked road reported near office area,blocked road near office area affecting daily activities,Traffic & Transport,0.54
Overflowing bin reported near office area,overflowing bin near office area affecting daily activities,Waste & Sanitation,0.504
Waste accumulation reported near school,waste accumulation near school needs attention soon,Waste & Sanitation,0.657
Power line reported on highway,power line on highway creating delays,Public Safety,0.547
Fire reported at bus stop,fire at bus stop should be repaired,Public Safety,0.638
Public park reported in public park,public park in public park should be repaired,Public Spaces,0.521
Water leakage reported near office area,water leakage near office area causing inconvenience,Water & Drainage,0.671
Litter reported near school,litter near school causing inconvenience,Waste & Sanitation,0.687
Waste accumulation reported on highway,waste accumulation on highway moderate risk,Waste & Sanitation,0.632
Streetlight reported near school,streetlight near school affecting daily activities,Street Lighting,0.504
Waterlogging reported near market,waterlogging near market causing inconvenience,Water & Drainage,0.52
Waste accumulation reported near school,waste accumulation near school causing inconvenience,Waste & Sanitation,0.526
Accident reported at junction,accident at junction causing inconvenience,Traffic & Transport,0.68
Trash heap reported on main road,trash heap on main road causing inconvenience,Waste & Sanitation,0.478
Waterlogging reported near office area,waterlogging near office area creating delays,Water & Drainage,0.589
Traffic congestion reported near office area,traffic congestion near office area moderate risk,Traffic & Transport,0.466
Lamp post reported at hospital,lamp post at hospital moderate risk,Street Lighting,0.62
Garbage pile reported on highway,garbage pile on highway moderate risk,Waste & Sanitation,0.658
Air pollution reported near school,air pollution near school should be repaired,Environment,0.674
Damaged road reported in residential area,damaged road in residential area creating delays,Roads & Infra,0.57
Traffic congestion reported in residential area,traffic congestion in residential area needs attention soon,Traffic & Transport,0.509
Park bench reported near school,park bench near school should be repaired,Public Spaces,0.659
Chemical spill reported on highway,chemical spill on highway needs attention soon,Environment,0.629
Waste accumulation reported near market,waste accumulation near market causing inconvenience,Waste & Sanitation,0.6
Public park reported in public park,public park in public park needs attention soon,Public Spaces,0.543
Explosion risk reported in public park,explosion risk in public park should be repaired,Public Safety,0.486
Fire reported on main road,fire on main road should be repaired,Public Safety,0.55
Footpath reported in residential area,footpath in residential area needs attention soon,Public Spaces,0.654
Bus stop reported at bus stop,bus stop at bus stop affecting daily activities,Public Spaces,0.69
Sinkhole reported in residential area,sinkhole in residential area needs attention soon,Roads & Infra,0.533
Explosion risk reported on highway,explosion risk on highway moderate risk,Public Safety,0.638
Streetlight reported near market,streetlight near market should be repaired,Street Lighting,0.68
Dark street reported near market,dark street near market should be repaired,Street Lighting,0.608
Dark street reported on main road,dark street on main road needs attention soon,Street Lighting,0.656
Smoke reported at bus stop,smoke at bus stop causing inconvenience,Environment,0.698
Public toilet reported in public park,public toilet in public park causing inconvenience,Civic Services,0.594
Collision reported on main road,collision on main road creating delays,Traffic & Transport,0.507
Fire reported at hospital,fire at hospital affecting daily activities,Public Safety,0.633
Gas leak reported at bus stop,gas leak at bus stop should be repaired,Public Safety,0.614
Air pollution reported near office area,air pollution near office area affecting daily activities,Environment,0.637
Road crack reported on highway,road crack on highway needs attention soon,Roads & Infra,0.659
Water leakage reported in public park,water leakage in public park causing inconvenience,Water & Drainage,0.574
Damaged road reported at junction,damaged road at junction moderate risk,Roads & Infra,0.526
Sewage overflow reported at hospital,sewage overflow at hospital needs attention soon,Water & Drainage,0.456
Waste accumulation reported at hospital,waste accumulation at hospital needs attention soon,Waste & Sanitation,0.496
Pothole reported in residential area,pothole in residential area moderate risk,Roads & Infra,0.688
Burning waste reported at bus stop,burning waste at bus stop causing inconvenience,Environment,0.624
Vehicle jam reported at bus stop,vehicle jam at bus stop affecting daily activities,Traffic & Transport,0.502
Chemical spill reported near office area,chemical spill near office area moderate risk,Environment,0.609
Hospital equipment reported on highway,hospital equipment on highway causing inconvenience,Healthcare,0.575
Electric wire reported in residential area,electric wire in residential area creating delays,Public Safety,0.568
Chemical spill reported at hospital,chemical spill at hospital moderate risk,Environment,0.622
Medical waste reported on highway,medical waste on highway causing inconvenience,Healthcare,0.545
Park bench reported on highway,park bench on highway affecting daily activities,Public Spaces,0.586
Road crack reported at hospital,road crack at hospital moderate risk,Roads & Infra,0.545
Power line reported near office area,power line near office area moderate risk,Public Safety,0.459
Collision reported on highway,collision on highway needs attention soon,Traffic & Transport,0.603
Pothole reported on main road,pothole on main road should be repaired,Roads & Infra,0.666
Litter reported on highway,litter on highway causing inconvenience,Waste & Sanitation,0.576
Footpath reported near office area,footpath near office area moderate risk,Public Spaces,0.65
Public toilet reported in residential area,public toilet in residential area should be repaired,Civic Services,0.479
Municipal office issue reported on main road,municipal office issue on main road moderate risk,Civic Services,0.523
Streetlight reported in residential area,streetlight in residential area should be repaired,Street Lighting,0.533
Road crack reported at hospital,road crack at hospital needs attention soon,Roads & Infra,0.571
Water leakage reported at bus stop,water leakage at bus stop creating delays,Water & Drainage,0.652
Flickering light reported near school,flickering light near school affecting daily activities,Street Lighting,0.496
Building collapse reported near office area,building collapse near office area moderate risk,Public Safety,0.507
Park bench reported at hospital,park bench at hospital needs attention soon,Public Spaces,0.485
Health hazard reported near school,health hazard near school moderate risk,Healthcare,0.574
Smoke reported in public park,smoke in public park creating delays,Environment,0.542
Public toilet reported at bus stop,public toilet at bus stop moderate risk,Civic Services,0.458
Chemical spill reported at bus stop,chemical spill at bus stop causing inconvenience,Environment,0.466
Vehicle jam reported on highway,vehicle jam on highway moderate risk,Traffic & Transport,0.577
Pipe burst reported at hospital,pipe burst at hospital causing inconvenience,Water & Drainage,0.49
Ambulance delay reported at junction,ambulance delay at junction moderate risk,Healthcare,0.615
Street sign reported in public park,street sign in public park affecting daily activities,Civic Services,0.569
Dark street reported at bus stop,dark street at bus stop causing inconvenience,Street Lighting,0.59
Pipe burst reported on main road,pipe burst on main road affecting daily activities,Water & Drainage,0.483
Smoke reported near market,smoke near market causing inconvenience,Environment,0.578
Garbage pile reported in public park,garbage pile in public park creating delays,Waste & Sanitation,0.516
Public toilet reported in residential area,public toilet in residential area needs attention soon,Civic Services,0.53
Waterlogging reported at junction,waterlogging at junction needs attention soon,Water & Drainage,0.616
Public park reported at junction,public park at junction causing inconvenience,Public Spaces,0.493
Facility damage reported at hospital,facility damage at hospital needs attention soon,Civic Services,0.617
Signboard reported at hospital,signboard at hospital moderate risk,Civic Services,0.578
Sinkhole reported on main road,sinkhole on main road needs attention soon,Roads & Infra,0.607
Burning waste reported at junction,burning waste at junction affecting daily activities,Environment,0.552
Smoke reported near market,smoke near market moderate risk,Environment,0.457
Fire reported on highway,fire on highway should be repaired,Public Safety,0.659
Pipe burst reported on highway,pipe burst on highway should be repaired,Water & Drainage,0.687
Municipal office issue reported on main road,municipal office issue on main road needs attention soon,Civic Services,0.6
Accident reported at hospital,accident at hospital moderate risk,Traffic & Transport,0.6
Smoke reported in public park,smoke in public park causing inconvenience,Environment,0.626
Streetlight reported near market,streetlight near market affecting daily activities,Street Lighting,0.548
Footpath reported in residential area,footpath in residential area should be repaired,Public Spaces,0.601
Accident reported in public park,accident in public park moderate risk,Traffic & Transport,0.547
Health hazard reported near office area,health hazard near office area should be repaired,Healthcare,0.615
Ambulance delay reported on highway,ambulance delay on highway affecting daily activities,Healthcare,0.473
Footpath reported in public park,footpath in public park should be repaired,Public Spaces,0.604
Damaged road reported in residential area,damaged road in residential area affecting daily activities,Roads & Infra,0.669
Health hazard reported at junction,health hazard at junction affecting daily activities,Healthcare,0.682
Power line reported near office area,power line near office area needs attention soon,Public Safety,0.537
Blocked road reported near market,blocked road near market should be repaired,Traffic & Transport,0.619
Vehicle jam reported near office area,vehicle jam near office area moderate risk,Traffic & Transport,0.617
Sewage overflow reported on main road,sewage overflow on main road creating delays,Water & Drainage,0.524
Explosion risk reported in public park,explosion risk in public park should be repaired,Public Safety,0.53
Bus stop reported in public park,bus stop in public park needs attention soon,Public Spaces,0.479
Blocked road reported at junction,blocked road at junction should be repaired,Traffic & Transport,0.647
Power line reported on highway,power line on highway affecting daily activities,Public Safety,0.511
Footpath reported near office area,footpath near office area moderate risk,Public Spaces,0.584
Lighting system reported near office area,lighting system near office area causing inconvenience,Street Lighting,0.513
Chemical spill reported at bus stop,chemical spill at bus stop causing inconvenience,Environment,0.467
Accident reported on highway,accident on highway should be repaired,Traffic & Transport,0.596
Collision reported near office area,collision near office area moderate risk,Traffic & Transport,0.5
Trash heap reported on highway,trash heap on highway should be repaired,Waste & Sanitation,0.477
Dust reported near market,dust near market causing inconvenience,Environment,0.485
Damaged road reported near school,damaged road near school causing inconvenience,Roads & Infra,0.662
Traffic congestion reported in public park,traffic congestion in public park should be repaired,Traffic & Transport,0.517
Broken pavement reported at junction,broken pavement at junction causing inconvenience,Roads & Infra,0.673
Hospital equipment reported near school,hospital equipment near school causing inconvenience,Healthcare,0.534
Medical waste reported in residential area,medical waste in residential area moderate risk,Healthcare,0.51
Sewage overflow reported near office area,sewage overflow near office area should be repaired,Water & Drainage,0.638
Street sign reported at junction,street sign at junction needs attention soon,Civic Services,0.456
Medical waste reported at junction,medical waste at junction needs attention soon,Healthcare,0.651
Air pollution reported in public park,air pollution in public park should be repaired,Environment,0.454
Streetlight reported near office area,streetlight near office area creating delays,Street Lighting,0.604
Accident reported at hospital,accident at hospital causing inconvenience,Traffic & Transport,0.512
Air pollution reported at junction,air pollution at junction moderate risk,Environment,0.602
Lamp post reported in residential area,lamp post in residential area causing inconvenience,Street Lighting,0.451
Accident reported near office area,accident near office area should be repaired,Traffic & Transport,0.662
Playground equipment reported at junction,playground equipment at junction causing inconvenience,Public Spaces,0.662
Dust reported on highway,dust on highway needs attention soon,Environment,0.635
Chemical spill reported at bus stop,chemical spill at bus stop causing inconvenience,Environment,0.585
Blocked road reported on highway,blocked road on highway moderate risk,Traffic & Transport,0.647
Street sign reported near market,street sign near market causing inconvenience,Civic Services,0.575
Clinic issue reported on highway,clinic issue on highway should be repaired,Healthcare,0.501
Streetlight reported near office area,streetlight near office area creating delays,Street Lighting,0.621
Flickering light reported at junction,flickering light at junction needs attention soon,Street Lighting,0.529
Burning waste reported at junction,burning waste at junction creating delays,Environment,0.523
Waterlogging reported near office area,waterlogging near office area moderate risk,Water & Drainage,0.69
